a,b,c,d
1473.HK, 0.25724, 0.032360002, 63338000
1478.HK, 0.25256002, 0.04828, 3603951104
1481.HK, 0.12595999, 0.12578, 16363000
1483.HK, 0.108380005, 0.37425, 79278000
1490.HK, 0.39657003, 0.35831, 51578000
1500.HK, 0.10913, 0.075780004, 21466000
1502.HK, 0.15609999, 0.09235, 189664000
1513.HK, 0.14148, 0.14594, 1948228864
1516.HK, 0.1702, 0.15745, 1173511040
1523.HK, 0.40685, 0.26942, 15838000
1525.HK, 0.13902001, 0.34791002, 206456992
1538.HK, 0.18507999, 0.075050004, 217258000
1540.HK, 0.09887, 0.085039996, 31936000
1542.HK, 0.121029995, 0.21304001, 154499008
1545.HK, 0.15538, 0.06487, 22778000
1546.HK, 0.15774, 0.13912, 81620000
1549.HK, 0.20451, 0.07171, 46932000
1553.HK, 0.1409, 0.07929, 184455008
1556.HK, 0.16079001, 0.049689997, 179644992
1558.HK, 0.17219, 0.3575, 1299492992
1568.HK, 0.14694001, 0.06855, 868225024
1570.HK, 0.13519, 0.00722, 511902016
1571.HK, 0.13789, 0.16063999, 411158016
1573.HK, 0.16063999, 0.31195998, 239047008
1576.HK, 0.15819, 0.36742002, 1138142976
1579.HK, 0.31493, 0.16514999, 1198754048
1582.HK, 0.18503, 0.021540001, 33427000
1585.HK, 0.3189, 0.047620002, 3632766976
1586.HK, 0.30185, 0.08757, 102216000
1593.HK, 0.092980005, 0.26893, 125316000
1596.HK, 0.1251, 0.22086, 149316512
1597.HK, 0.23292999, 0.118540004, 12132000
1598.HK, 0.11735, 0.30411, 129084000
1599.HK, 0.14893, 0.07877, 734988032
1600.HK, 0.23205, 0.16204001, 1389705984
1606.HK, 0.14629, 0.32344002, 13888750592
1608.HK, 0.16575001, 0.15244001, 1827821056
1610.HK, 0.18515, 0.08777001, 6029539840
1611.HK, 0.33653998, 0.122930005, 28907000
1612.HK, 0.32589, 0.16301, 158240992
1621.HK, 0.098629996, 0.02247, 21070000
1632.HK, 0.17079, 0.01611, 52498000
1637.HK, 0.15988, 0.06237, 138842000
1639.HK, 0.090050004, 0.061669998, 359323008
1643.HK, 0.62426, 0.20596, 42759000
1645.HK, 0.25482, 0.08424, 117825000
1651.HK, 0.24290001, 0.12575, 300771008
1652.HK, 0.09355, 0.14405, 153207008
1653.HK, 0.100430004, 0.068390004, 47582000
1660.HK, 0.22409001, 0.36742002, 109504000
1662.HK, 0.09234, 0.046680003, 113060000
1665.HK, 0.22221, 0.2535, 93291000
1666.HK, 0.103719994, 0.10148, 435809984
1671.HK, 0.08181, 0.03632, 104132000
1675.HK, 0.14822, 0.11383, 715609024
1686.HK, 0.19118, 0.41915, 1099940992
1691.HK, 0.23297001, 0.08209, 652948992
1702.HK, 0.106309995, 0.06404, 312883008
1709.HK, 0.60339, 0.47075, 49125000
1710.HK, 0.08053, 0.041160002, 40551000
1713.HK, 0.09741, 0.08911, 476296992
1716.HK, 0.09688, 0.15807, 16758000
1717.HK, 0.24476999, 0.14164, 400246016
1727.HK, 0.121879995, 0.01893, 1971932032
1729.HK, 0.22325, 0.07525, 144579008
1730.HK, 0.30458, 0.24326, 55391000
1733.HK, 0.13018, 0.02104, 2965381888
1737.HK, 0.20247999, 0.0992, 74934000
1747.HK, 0.20531, 0.02777, 10740000
1755.HK, 0.41161, 0.15782, 787027968
1756.HK, 0.11603, 0.37894002, 458528992
1763.HK, 0.10444, 0.051609997, 485931008
1766.HK, 0.086619996, 0.04975, 1181683968
1767.HK, 0.124280006, 0.09819999, 10694562
1769.HK, 0.08968, 0.06533, 271449984
1771.HK, 0.14598, 0.02592, 658577984
1772.HK, 0.16106, 0.31728, 1186944640
1773.HK, 0.13013, 0.2919, 1720024960
1776.HK, 0.11349, 0.34153, 22979981312
1778.HK, 0.12597, 0.13949999, 825817024
1785.HK, 0.13725, 0.24419, 1091983360
1789.HK, 0.19881001, 0.30328, 205256992
1799.HK, 0.15043001, 0.10742, 3309222912
1809.HK, 0.16811001, 0.096260004, 649686976
1810.HK, 0.23891, 0.09517, 31537825792
1812.HK, 0.11366, 0.07712, 13991111680
1813.HK, 0.14464, 0.22448, 1130800000
1816.HK, 0.11181, 0.12977, 30883459072
1820.HK, 0.12257, 0.03841, 112146000
1823.HK, 0.14177, 0.13894, 105831000
1830.HK, 0.35165, 0.24256, 598641024
1841.HK, 0.18746, 0.2053, 36033000
1853.HK, 0.15422, 0.0871, 416751104
1855.HK, 0.15471, 0.06841, 139896992
1858.HK, 0.30047, 0.3022, 260682352
1861.HK, 0.25284, 0.07986, 78844000
1866.HK, 0.08631, 0.03329, 1704029056
1882.HK, 0.17126, 0.20236999, 3278169088
1883.HK, 0.10804, 0.11465, 2542000128
1884.HK, 0.080469996, 0.07122, 51484000
1888.HK, 0.16948, 0.16201, 2278167040
1890.HK, 0.18941, 0.65124, 636238976
1898.HK, 0.09837, 0.05551, 23871389696
1902.HK, 0.08314, 0.0171, 1427910016
1906.HK, 0.15002, 0.16775, 53027000
1907.HK, 0.22564, 0.085930005, 1141479936
1909.HK, 0.64325994, 0.6589, 435787360
1911.HK, 0.14576, 0.38166, 340148992
1913.HK, 0.080019996, 0.07482, 948158976
1919.HK, 0.36369, 0.12544, 70474645504
1922.HK, 0.44248, 0.06994, 68000000
1927.HK, 0.18492001, 0.10986, 23986000
1929.HK, 0.21094, 0.085889995, 10476300288
1930.HK, 0.10354, 0.13933, 47435000
1938.HK, 1.3665401, 0.54555, 71365000
1941.HK, 0.1342, 0.07921, 18114000
1942.HK, 0.12894, 0.1, 28136000
1955.HK, 0.4779, 0.068119995, 355328992
1959.HK, 0.08656, 0.0112, 145148000
1965.HK, 0.68599, 0.1091, 92921000
1969.HK, 0.15686, 0.27405, 609347008
1971.HK, 0.15636, 0.09084, 171287008
1975.HK, 0.13675, 0.14919, 44823000
1977.HK, 0.1627, 0.0588, 407595008
1979.HK, 0.34048998, 0.0644, 552417024
1981.HK, 0.15858, 0.40069, 165126000
1982.HK, 0.13223, 0.081499994, 849337984
1985.HK, 0.20638001, 0.042480003, 86136000
1995.HK, 0.20852, 0.12514, 709100032
1999.HK, 0.21712999, 0.1171, 1922386944
2005.HK, 0.114250004, 0.13018, 514152000
2018.HK, 0.10005999, 0.117639996, 3357262080
2020.HK, 0.30839002, 0.16823, 11376000000
2023.HK, 0.12366, 0.071550004, 13587000
2030.HK, 0.14251, 0.12054, 184083008
2039.HK, 0.15426, 0.069970004, 17500315648
2057.HK, 0.097720005, 0.15038, 5930044928
2096.HK, 0.19490999, 0.14850001, 96731000
2099.HK, 0.11837, 0.17983, 414633984
2102.HK, 0.13368, 0.10103, 82668000
2103.HK, 0.12005, 0.06984, 947620992
2111.HK, 0.088470004, 0.07377, 754222976
2127.HK, 0.21075001, 0.15475, 525584000
2130.HK, 0.19818, 0.027479999, 221118000
2132.HK, 0.28193, 0.07546, 29510000
2138.HK, 0.16112, 0.092709996, 620806656
2146.HK, 0.33485, 0.1741, 90799000
2148.HK, 0.39578998, 0.15683, 9648000
2156.HK, 0.36089, 0.10317001, 286686016
2159.HK, 0.13919, 0.04867, 31122000
2169.HK, 0.10012, 0.17608, 161124000
2180.HK, 0.11431, 0.03856, 166568992
2182.HK, 0.12542, 0.09362, 84277000
2186.HK, 0.08264, 0.12755, 1033449024
2187.HK, 0.46163, 0.079780005, 11758000
2189.HK, 0.3734, 0.31136, 118074000
2195.HK, 0.88281, 0.1201, 22248000
2196.HK, 0.098629996, 0.121070005, 2934038528
2198.HK, 0.26239002, 0.11553001, 2458052096
2202.HK, 0.18863001, 0.09584, 73021317120
2205.HK, 0.79582, 0.15355, 55691000
2207.HK, 1.03959, 0.10995, 256164000
2209.HK, 0.63636, 0.06474, 20135000
2215.HK, 0.89107, 0.14038, 258344992
2217.HK, 0.62426, 0.16036, 707315968
2232.HK, 0.12626, 0.06803, 336601984
2233.HK, 0.16028, 0.21882999, 2682118912
2269.HK, 0.10017, 0.30091998, 1881276032
2283.HK, 0.21846001, 0.12195, 368350016
2293.HK, 0.21554, 0.43889, 43729000
2299.HK, 0.103, 0.080649994, 955790976
2313.HK, 0.19376, 0.22173999, 5754570240
2314.HK, 0.14651, 0.14183, 3136228096
2318.HK, 0.16966999, 0.11485, 248746000384
2328.HK, 0.11594, 0.05066, 12810999808
2331.HK, 0.33220002, 0.16118, 5608892928
2337.HK, 0.44652, 0.03541, 182406000
2338.HK, 0.15796, 0.04777, 26043604992
2340.HK, 0.10293999, 0.0126, 166848000
2343.HK, 0.15328, 0.09021, 343833984
2348.HK, 0.12579, 0.26178, 302903008
2355.HK, 0.08343001, 0.03142, 1876779008
2357.HK, 0.17143999, 0.04749, 403527360
2359.HK, 0.15693, 0.22718, 3545264128
2360.HK, 0.103190005, 0.025810001, 167264992
2368.HK, 0.2274, 0.09651, 411583008
2377.HK, 0.08778, 0.12612, 230484992
2378.HK, 0.14821, -0.046090003, 586000000
2381.HK, 0.22493, 0.14576, 23606000
2382.HK, 0.33433998, 0.1282, 7160010752
2386.HK, 0.0858, 0.045500003, 2956836096
2518.HK, 0.20395, 0.39328, 3325630976
2588.HK, 0.09142999, 0.21414, 1835155968
2601.HK, 0.1342, 0.063140005, 99882000384
2607.HK, 0.12633, 0.026770001, 5310102528
2623.HK, 0.20392, 0.06284, 21131000
2628.HK, 0.14097999, 0.072859995, 339946995712
2660.HK, 0.29198998, 0.32700002, 241679008
2663.HK, 0.20064, 0.10943, 15675000
2682.HK, 0.13002, 0.11061, 19977000
2686.HK, 0.08646, 0.49038, 534265984
2689.HK, 0.14319, 0.11035, 4906527744
2768.HK, 0.24108, 0.17837, 1995600000
2772.HK, 0.25724, 0.05677, 440560000
2777.HK, 0.10647, 0.10484, 19324332032
2779.HK, 0.119610004, 0.67933, 403368992
2798.HK, 0.19514999, 0.19268, 552134016
2863.HK, 0.085039996, 0.113170005, 28278000
2866.HK, 0.10183, 0.12573, 10114995200
2869.HK, 0.14716, 0.070300005, 1315993984
2878.HK, 0.20358999, 0.09661, 34139000
2885.HK, 0.08084, 0.09355, 35257000
2886.HK, 0.21481001, 0.09713, 772296000
2899.HK, 0.19309, 0.05416, 19818381312
3300.HK, 0.21802, 0.10873, 908145024
3306.HK, 0.22948, 0.116009995, 1129440000
3316.HK, 0.27797002, 0.22865, 317744000
3323.HK, 0.14651, 0.055630002, 66207465472
3331.HK, 0.17396, 0.10738, 1875779968
3333.HK, 0.08858, 0.01592, 110063001600
3347.HK, 0.20452999, 0.56627, 1148098816
3348.HK, 0.22304001, 0.0838, 192631008
3396.HK, 0.10105, 0.03304, 42757595136
3601.HK, 0.16521, 0.20888, 138920992
3606.HK, 0.14972, 0.146, 7113276928
3613.HK, 0.20732, 0.40159, 414113984
3616.HK, 0.20451, 0.11726, 897585984
3633.HK, 0.18587999, 0.11769, 1680099968
3662.HK, 0.26541, 0.17781, 531096000
3669.HK, 0.15197, 0.023710001, 5729019904
3692.HK, 0.16615999, 0.29561, 2390479104
3709.HK, 0.13205, 0.085039996, 1416417024
3718.HK, 0.18243, 0.12126, 672918016
3728.HK, 0.09345, 0.0127, 80273000
3737.HK, 0.1749, 0.08637, 93179000
